I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.102,0.041,0.144,,,,,,,,,
-0.093,0.026,0.119,,,,,,,,,
-0.089,0.008,0.098,,,,,,,,,
-0.09,-0.011,0.079,,,,,,,,,
-0.086,-0.028,0.058,,,,,,,,,
-0.085,-0.045,0.039,,,,,,,,,
-0.095,-0.076,0.018,,,,,,,,,
-0.122,-0.081,0.042,,,,,,,,,
-0.127,-0.079,0.048,,,,,,,,,
-0.114,-0.08,0.033,,,,,,,,,
-0.108,-0.078,0.029,,,,,,,,,
-0.09,-0.073,0.017,,,,,,,,,
-0.078,-0.07,0.007,,,,,,,,,
-0.065,-0.068,-0.003,,,,,,,,,
-0.066,-0.065,0.002,,,,,,,,,
-0.074,-0.063,0.012,,,,,,,,,
-0.083,-0.059,0.023,,,,,,,,,
-0.092,-0.058,0.033,,,,,,,,,
-0.091,-0.052,0.039,,,,,,,,,
-0.108,-0.068,0.04,,,,,,,,,
-0.136,-0.096,0.039,,,,,,,,,
-0.112,-0.072,0.04,,,,,,,,,
-0.101,-0.061,0.039,,,,,,,,,
-0.078,-0.037,0.041,,,,,,,,,
-0.11,-0.065,0.045,,,,,,,,,
-0.116,-0.071,0.044,,,,,,,,,
-0.102,-0.057,0.045,,,,,,,,,
-0.098,-0.053,0.045,,,,,,,,,
-0.087,-0.042,0.044,,,,,,,,,
-0.088,-0.04,0.048,,,,,,,,,
-0.09,-0.039,0.05,,,,,,,,,
-0.089,-0.036,0.053,,,,,,,,,
-0.09,-0.034,0.055,,,,,,,,,
-0.093,-0.033,0.058,,,,,,,,,
-0.09,-0.029,0.061,,,,,,,,,
-0.088,-0.03,0.057,,,,,,,,,
-0.083,-0.028,0.054,,,,,,,,,
-0.08,-0.025,0.055,,,,,,,,,
-0.079,-0.024,0.055,,,,,,,,,
-0.077,-0.022,0.054,,,,,,,,,
-0.074,-0.019,0.055,,,,,,,,,
-0.076,-0.021,0.054,,,,,,,,,
-0.071,-0.016,0.055,,,,,,,,,
-0.068,-0.013,0.054,,,,,,,,,
-0.09,-0.035,0.055,,,,,,,,,
-0.083,-0.028,0.054,,,,,,,,,
-0.07,-0.015,0.055,,,,,,,,,
-0.059,-0.004,0.054,,,,,,,,,
-0.048,0.006,0.055,,,,,,,,,
-0.038,0.013,0.051,,,,,,,,,
-0.019,0.023,0.042,,,,,,,,,
-0.014,0.021,0.035,,,,,,,,,
-0.006,0.019,0.025,,,,,,,,,
0.021,0.016,-0.006,,,,,,,,,
0.075,0.013,-0.061,,,,,,,,,
0.068,0.01,-0.057,,,,,,,,,
,0.008,,-0.03,0.048,-0.017,,,,,,
,0.005,,-0.018,0.03,-0.011,,,,,,
,0.003,,-0.016,0.027,-0.01,,,,,,
,0.0,,-0.019,0.039,-0.019,,,,,,
,-0.002,,-0.013,0.032,-0.017,,,,,,
,-0.004,,-0.011,0.03,-0.018,,,,,,
,-0.012,,-0.001,0.022,-0.02,,,,,,
,-0.034,,0.019,0.013,-0.032,,,,,,
,-0.055,,0.044,-0.003,-0.038,,,,,,
,-0.079,,0.065,-0.012,-0.052,,,,,,
,-0.073,,0.063,-0.016,-0.046,,,,,,
,-0.073,,0.063,-0.015,-0.047,,,,,,
,-0.068,,0.061,-0.019,-0.041,,,,,,
,-0.07,,0.063,-0.019,-0.043,,,,,,
,-0.063,,0.057,-0.019,-0.037,,,,,,
,-0.066,,0.061,-0.022,-0.038,,,,,,
,-0.06,,0.056,-0.021,-0.034,,,,,,
,-0.06,,0.049,-0.007,-0.042,,,,,,
,-0.055,,0.042,0.0,-0.041,,,,,,
,-0.055,,0.044,-0.003,-0.04,,,,,,
,-0.053,,0.041,0.0,-0.039,,,,,,
,-0.05,,0.039,0.0,-0.037,,,,,,
,-0.048,,0.036,0.0,-0.036,,,,,,
,-0.054,,0.042,-0.001,-0.039,,,,,,
,-0.054,,0.044,-0.006,-0.036,,,,,,
,-0.055,,0.045,-0.007,-0.037,,,,,,
,-0.053,,0.043,-0.006,-0.036,,,,,,
,-0.057,,0.047,-0.008,-0.038,,,,,,
,-0.059,,0.049,-0.009,-0.039,,,,,,
,-0.061,,0.052,-0.012,-0.039,,,,,,
,-0.058,,0.051,-0.015,-0.035,,,,,,
,-0.062,,0.055,-0.015,-0.038,,,,,,
,-0.045,,0.04,-0.012,-0.028,,,,,,
,-0.044,,0.038,-0.011,-0.027,,,,,,
,-0.08,,0.077,-0.032,-0.044,,,,,,
,-0.068,,0.067,-0.029,-0.036,,,,,,
,-0.054,,0.052,-0.021,-0.028,,,,,,
,-0.038,,0.036,-0.015,-0.02,,,,,,
,-0.021,,0.021,-0.011,-0.009,,,,,,
,-0.018,,0.018,-0.007,-0.009,,,,,,
,-0.028,,0.03,-0.018,-0.011,,,,,,
,-0.007,,0.009,-0.008,-0.001,,,,,,
,-0.016,,0.018,-0.012,-0.005,,,,,,
,-0.03,,0.03,-0.016,-0.014,,,,,,
,-0.043,,0.042,-0.02,-0.022,,,,,,
,-0.054,,0.051,-0.02,-0.03,,,,,,
,-0.04,,0.035,-0.01,-0.024,,,,,,
,-0.035,,0.032,-0.011,-0.02,,,,,,
,-0.023,,0.023,-0.01,-0.011,,,,,,
,-0.023,,0.023,-0.011,-0.011,,,,,,
,-0.023,,0.025,-0.015,-0.009,,,,,,
,-0.03,,0.033,-0.022,-0.01,,,,,,
,-0.026,,0.032,-0.023,-0.008,,,,,,
,-0.057,,0.068,-0.052,-0.015,,,,,,
,-0.054,,0.09,-0.098,0.008,,,,,,
,-0.032,,0.052,-0.054,0.002,,,,,,
,-0.02,,0.009,0.012,-0.021,,,,,,
,0.0,,-0.029,0.058,-0.028,,,,,,
,0.03,,-0.095,0.146,-0.05,,,,,,
,0.152,,-0.275,0.322,-0.047,,,,,,
,0.352,,-0.534,0.541,-0.006,,,,,,
,0.392,,-0.685,0.783,-0.097,,,,,,
,0.341,,-0.783,1.055,-0.271,,,,,,
,0.327,,-0.753,1.014,-0.261,,,,,,
,0.313,,-0.503,0.538,-0.034,,,,,,
,0.271,,-0.242,0.077,0.164,,,,,,
,0.18,,-0.094,-0.083,0.177,,,,,,
,0.1,,0.028,-0.208,0.179,,,,,,
,0.09,,0.044,-0.225,0.18,,,,,,
,0.082,,0.032,-0.188,0.155,,,,,,
,0.077,,0.013,-0.142,0.129,,,,,,
,0.058,,0.015,-0.119,0.103,,,,,,
,0.01,,0.041,-0.098,0.056,,,,,,
,-0.007,,0.043,-0.076,0.032,,,,,,
,-0.024,,0.06,-0.083,0.023,,,,,,
,-0.04,,0.072,-0.085,0.012,,,,,,
,-0.048,,0.079,-0.087,0.006,,,,,,
,-0.043,,0.071,-0.078,0.006,,,,,,
,-0.046,,0.072,-0.075,0.002,,,,,,
,-0.042,,0.066,-0.068,0.001,,,,,,
,-0.068,,0.09,-0.078,-0.012,,,,,,
,-0.07,,0.09,-0.074,-0.015,,,,,,
,-0.069,,0.087,-0.07,-0.016,,,,,,
,-0.07,,0.086,-0.069,-0.017,,,,,,
,-0.069,,0.087,-0.07,-0.016,,,,,,
,-0.07,,0.086,-0.068,-0.018,,,,,,
,-0.069,,0.084,-0.065,-0.019,,,,,,
,-0.07,,0.085,-0.064,-0.02,,,,,,
,-0.069,,0.085,-0.065,-0.019,,,,,,
,-0.07,,0.084,-0.062,-0.021,,,,,,
,-0.069,,0.081,-0.059,-0.021,,,,,,
,-0.07,,0.082,-0.06,-0.022,,,,,,
,-0.068,,0.081,-0.059,-0.021,,,,,,
,-0.072,,0.08,-0.054,-0.026,,,,,,
,-0.061,,0.061,-0.03,-0.03,,,,,,
,-0.081,,0.077,-0.032,-0.044,,,,,,
,-0.084,,0.095,-0.063,-0.031,,,,,,
,-0.076,,0.103,-0.092,-0.011,,,,,,
,-0.073,,0.102,-0.096,-0.006,,,,,,
,-0.063,,0.085,-0.075,-0.008,,,,,,
,-0.044,,0.061,-0.056,-0.004,,,,,,
,-0.029,,0.04,-0.036,-0.003,,,,,,
,-0.01,,0.049,-0.082,0.033,,,,,,
,-0.015,,0.056,-0.087,0.032,,,,,,
,-0.034,,0.071,-0.092,0.019,,,,,,
,-0.028,,0.063,-0.085,0.021,,,,,,
,-0.029,,0.063,-0.084,0.02,,,,,,
,-0.023,,0.055,-0.076,0.02,,,,,,
,-0.025,,0.057,-0.074,0.017,,,,,,
,-0.018,,0.046,-0.066,0.018,,,,,,
,-0.021,,0.048,-0.066,0.016,,,,,,
,-0.015,,0.042,-0.06,0.017,,,,,,
,-0.015,,0.039,-0.055,0.016,,,,,,
,-0.011,,0.032,-0.048,0.016,,,,,,
,-0.01,,0.03,-0.045,0.015,,,,,,
,-0.008,,0.032,-0.051,0.019,,,,,,
,-0.005,,0.042,-0.076,0.035,,,,,,
,-0.004,,0.046,-0.084,0.037,,,,,,
,-0.002,,0.039,-0.076,0.036,,,,,,
,0.003,,0.033,-0.071,0.037,,,,,,
,0.004,,0.029,-0.066,0.035,,,,,,
,-0.009,,0.032,-0.052,0.019,,,,,,
,0.012,,0.001,-0.023,0.02,,,,,,
,0.02,,-0.017,0.002,0.013,,,,,,
,0.0,,-0.003,0.007,-0.003,,,,,,
,-0.006,,-0.008,0.028,-0.018,,,,,,
,-0.027,,-0.003,0.048,-0.044,,,,,,
,0.019,,-0.041,0.055,-0.013,,,,,,
,0.044,,-0.062,0.058,0.003,,,,,,
,0.031,,-0.042,0.037,0.004,,,,,,
,0.025,,-0.032,0.028,0.004,,,,,,
,0.019,,-0.026,0.023,0.001,,,,,,
,0.009,,-0.016,0.02,-0.002,,,,,,
,-0.008,,0.002,0.009,-0.01,,,,,,
,-0.023,,0.018,-0.001,-0.017,,,,,,
,-0.034,,0.03,-0.007,-0.022,,,,,,
,-0.026,,0.02,-0.002,-0.018,,,,,,
,-0.019,,0.015,-0.001,-0.013,,,,,,
,-0.009,,0.007,0.0,-0.006,,,,,,
,-0.015,,0.013,-0.002,-0.01,,,,,,
,-0.035,,0.034,-0.012,-0.02,,,,,,
,-0.05,,0.045,-0.014,-0.03,,,,,,
,-0.06,,0.048,-0.006,-0.042,,,,,,
,-0.058,,0.042,0.003,-0.046,,,,,,
,-0.062,,0.047,0.0,-0.046,,,,,,
,-0.065,,0.05,-0.002,-0.047,,,,,,
,-0.064,,0.049,-0.001,-0.046,,,,,,
,-0.066,,0.051,-0.002,-0.048,,,,,,
,-0.07,,0.057,-0.008,-0.048,,,,,,
,-0.069,,0.057,-0.01,-0.046,,,,,,
,-0.069,,0.057,-0.009,-0.046,,,,,,
,-0.064,,0.052,-0.006,-0.044,,,,,,
,-0.061,,0.049,-0.007,-0.042,,,,,,
,-0.055,,0.046,-0.008,-0.037,,,,,,
,-0.055,,0.045,-0.006,-0.037,,,,,,
,-0.05,,0.041,-0.005,-0.035,,,,,,
,-0.047,,0.037,-0.003,-0.033,,,,,,
,-0.042,,0.035,-0.005,-0.028,,,,,,
,-0.04,,0.033,-0.004,-0.027,,,,,,
,-0.038,,0.031,-0.004,-0.025,,,,,,
,-0.034,,0.026,0.0,-0.024,,,,,,
,-0.029,,0.023,-0.002,-0.02,,,,,,
,-0.026,,0.021,-0.002,-0.017,,,,,,
,-0.02,,0.015,0.0,-0.015,,,,,,
,-0.019,,0.014,0.0,-0.014,,,,,,
,-0.008,,0.003,0.006,-0.008,,,,,,
,0.003,,-0.006,0.009,-0.002,,,,,,
,-0.019,,0.018,-0.005,-0.01,,,,,,
,-0.031,,0.03,-0.014,-0.015,,,,,,
,-0.031,,0.029,-0.011,-0.018,,,,,,
,-0.028,,0.023,-0.004,-0.018,,,,,,
,-0.025,,0.019,0.0,-0.018,,,,,,
,-0.024,,0.016,0.005,-0.02,,,,,,
,-0.022,,0.012,0.008,-0.02,,,,,,
,-0.018,,0.006,0.016,-0.022,,,,,,
,-0.017,,0.01,0.006,-0.015,,,,,,
,-0.013,,0.012,-0.003,-0.007,,,,,,
,-0.018,,0.024,-0.021,-0.002,,,,,,
,-0.031,,0.042,-0.037,-0.005,,,,,,
,-0.049,,0.061,-0.05,-0.011,,,,,,
,-0.039,,0.073,-0.089,0.014,,,,,,
,-0.025,,0.035,-0.033,-0.002,,,,,,
,-0.007,,0.0,0.013,-0.012,,,,,,
,0.027,,-0.06,0.08,-0.019,,,,,,
,0.1,,-0.177,0.203,-0.026,,,,,,
,0.28,,-0.397,0.372,0.023,,,,,,
,0.477,,-0.638,0.558,0.078,,,,,,
,0.427,,-0.737,0.834,-0.096,,,,,,
,0.358,,-0.776,1.014,-0.237,,,,,,
,0.34,,-0.639,0.769,-0.128,,,,,,
,0.303,,-0.34,0.226,0.113,,,,,,
,0.232,,-0.138,-0.073,0.212,,,,,,
,0.129,,-0.021,-0.151,0.172,,,,,,
,0.072,,0.062,-0.234,0.171,,,,,,
,0.09,,0.035,-0.208,0.171,,,,,,
,0.089,,0.021,-0.176,0.155,,,,,,
,0.058,,0.028,-0.144,0.116,,,,,,
,0.039,,0.014,-0.087,0.073,,,,,,
,0.021,,0.025,-0.082,0.057,,,,,,
,0.006,,0.031,-0.071,0.04,,,,,,
,-0.009,,0.04,-0.066,0.026,,,,,,
,-0.034,,0.057,-0.065,0.007,,,,,,
,-0.069,,0.088,-0.073,-0.015,,,,,,
,-0.062,,0.077,-0.061,-0.015,,,,,,
,-0.061,,0.073,-0.053,-0.019,,,,,,
,-0.054,,0.066,-0.049,-0.015,,,,,,
,-0.053,,0.067,-0.055,-0.012,,,,,,
,-0.046,,0.062,-0.054,-0.007,,,,,,
,-0.046,,0.064,-0.058,-0.005,,,,,,
,-0.055,,0.068,-0.054,-0.013,,,,,,
,-0.088,,0.098,-0.064,-0.033,,,,,,
,-0.088,,0.093,-0.054,-0.038,,,,,,
,-0.078,,0.082,-0.047,-0.034,,,,,,
,-0.071,,0.086,-0.066,-0.019,,,,,,
,-0.062,,0.078,-0.062,-0.015,,,,,,
,-0.056,,0.07,-0.057,-0.012,,,,,,
,-0.052,,0.067,-0.056,-0.01,,,,,,
,-0.048,,0.06,-0.048,-0.011,,,,,,
,-0.041,,0.053,-0.046,-0.007,,,,,,
,-0.038,,0.049,-0.043,-0.006,,,,,,
,-0.033,,0.055,-0.06,0.005,,,,,,
,-0.03,,0.053,-0.061,0.007,,,,,,
,-0.023,,0.044,-0.054,0.009,,,,,,
,-0.041,,0.061,-0.06,-0.001,,,,,,
,-0.052,,0.072,-0.066,-0.005,,,,,,
,-0.047,,0.065,-0.059,-0.005,,,,,,
,-0.056,,0.072,-0.062,-0.01,,,,,,
,-0.056,,0.071,-0.058,-0.011,,,,,,
,-0.051,,0.065,-0.054,-0.011,,,,,,
,-0.049,,0.068,-0.061,-0.005,,,,,,
,-0.046,,0.081,-0.092,0.011,,,,,,
,-0.044,,0.081,-0.096,0.015,,,,,,
,-0.041,,0.078,-0.095,0.016,,,,,,
,-0.038,,0.075,-0.094,0.017,,,,,,
,-0.035,,0.072,-0.091,0.019,,,,,,
,-0.033,,0.073,-0.095,0.022,,,,,,
,-0.027,,0.067,-0.094,0.026,,,,,,
,-0.022,,0.062,-0.091,0.028,,,,,,
,-0.02,,0.059,-0.089,0.029,,,,,,
,-0.012,,0.053,-0.088,0.033,,,,,,
,-0.008,,0.051,-0.09,0.037,,,,,,
,-0.004,,0.046,-0.086,0.039,,,,,,
,-0.022,,0.064,-0.096,0.03,,,,,,
,-0.016,,0.058,-0.093,0.034,,,,,,
,-0.008,,0.048,-0.085,0.036,,,,,,
,0.0,,0.034,-0.068,0.034,,,,,,
,-0.002,,0.033,-0.063,0.029,,,,,,
,-0.011,,0.038,-0.059,0.02,,,,,,
,-0.015,,0.036,-0.05,0.013,,,,,,
,-0.008,,0.023,-0.035,0.011,,,,,,
,0.0,,0.011,-0.023,0.011,,,,,,
,0.003,,-0.015,0.026,-0.01,,,,,,
,-0.002,,-0.022,0.051,-0.026,,,,,,
,-0.003,,-0.015,0.038,-0.021,,,,,,
,0.005,,-0.021,0.036,-0.014,,,,,,
,0.02,,-0.032,0.033,-0.001,,,,,,
,0.022,,-0.033,0.033,0.0,,,,,,
,0.014,,-0.025,0.031,-0.005,,,,,,
,0.005,,-0.015,0.022,-0.006,,,,,,
,0.033,,-0.042,0.034,0.007,,,,,,
,0.031,,-0.037,0.029,0.008,,,,,,
,-0.005,,0.0,0.01,-0.009,,,,,,
,-0.019,,0.015,0.0,-0.013,,,,,,
,-0.029,,0.023,-0.001,-0.02,,,,,,
,-0.059,,0.049,-0.009,-0.039,,,,,,
,-0.058,,0.043,0.002,-0.045,,,,,,
,-0.063,,0.048,0.0,-0.046,,,,,,
,-0.064,,0.048,0.0,-0.047,,,,,,
,-0.068,,0.056,-0.008,-0.046,,,,,,
,-0.07,,0.058,-0.009,-0.047,,,,,,
,-0.07,,0.059,-0.014,-0.045,,,,,,
,-0.069,,0.059,-0.013,-0.045,,,,,,
,-0.07,,0.062,-0.018,-0.042,,,,,,
,-0.069,,0.066,-0.027,-0.038,,,,,,
,-0.07,,0.071,-0.039,-0.032,,,,,,
,-0.069,,0.062,-0.02,-0.041,,,,,,
,-0.07,,0.055,-0.005,-0.049,,,,,,
,-0.069,,0.058,-0.011,-0.046,,,,,,
,-0.07,,0.058,-0.009,-0.047,,,,,,
,-0.068,,0.056,-0.008,-0.045,,,,,,
,-0.063,,0.053,-0.01,-0.042,,,,,,
,-0.059,,0.054,-0.018,-0.035,,,,,,
,-0.055,,0.051,-0.018,-0.032,,,,,,
,-0.051,,0.051,-0.024,-0.026,,,,,,
,-0.047,,0.048,-0.025,-0.022,,,,,,
,-0.043,,0.048,-0.031,-0.016,,,,,,
,-0.037,,0.041,-0.025,-0.015,,,,,,
,-0.032,,0.034,-0.02,-0.013,,,,,,
,-0.027,,0.028,-0.015,-0.012,,,,,,
,-0.019,,0.019,-0.008,-0.009,,,,,,
,-0.036,,0.036,-0.017,-0.018,,,,,,
,-0.032,,0.03,-0.01,-0.018,,,,,,
,-0.01,,0.008,0.0,-0.008,,,,,,
,-0.018,,0.012,0.002,-0.014,,,,,,
,-0.031,,0.027,-0.006,-0.019,,,,,,
,-0.045,,0.041,-0.014,-0.025,,,,,,
,-0.058,,0.058,-0.028,-0.029,,,,,,
,-0.056,,0.055,-0.026,-0.027,,,,,,
,-0.051,,0.053,-0.029,-0.023,,,,,,
,-0.047,,0.05,-0.03,-0.02,,,,,,
,-0.043,,0.049,-0.032,-0.016,,,,,,
,-0.039,,0.044,-0.03,-0.014,,,,,,
,-0.034,,0.044,-0.035,-0.007,,,,,,
,-0.04,,0.05,-0.037,-0.011,,,,,,
,-0.057,,0.069,-0.053,-0.016,,,,,,
,-0.062,,0.072,-0.051,-0.02,,,,,,
,-0.05,,0.072,-0.069,-0.003,,,,,,
,-0.045,,0.083,-0.099,0.016,,,,,,
,-0.037,,0.054,-0.052,-0.002,,,,,,
,-0.008,,0.003,0.006,-0.009,,,,,,
,0.057,,-0.099,0.112,-0.013,,,,,,
,0.155,,-0.222,0.21,0.01,,,,,,
,0.369,,-0.448,0.344,0.103,,,,,,
,0.528,,-0.682,0.573,0.109,,,,,,
,0.467,,-0.803,0.905,-0.101,,,,,,
,0.369,,-0.779,1.006,-0.225,,,,,,
,0.284,,-0.563,0.7,-0.136,,,,,,
,0.216,,-0.297,0.27,0.026,,,,,,
,0.114,,-0.115,0.059,0.055,,,,,,
,0.058,,0.003,-0.095,0.09,,,,,,
,0.054,,0.056,-0.194,0.137,,,,,,
,0.055,,0.05,-0.185,0.133,,,,,,
,0.056,,0.016,-0.118,0.1,,,,,,
,0.041,,0.005,-0.074,0.068,,,,,,
,0.012,,0.027,-0.074,0.045,,,,,,
,-0.008,,0.037,-0.061,0.024,,,,,,
,-0.024,,0.044,-0.051,0.007,,,,,,
,-0.029,,0.042,-0.042,0.0,,,,,,
,-0.04,,0.052,-0.045,-0.007,,,,,,
,-0.043,,0.053,-0.041,-0.011,,,,,,
,-0.06,,0.068,-0.046,-0.021,,,,,,
,-0.06,,0.066,-0.042,-0.024,,,,,,
,-0.086,,0.088,-0.048,-0.039,,,,,,
,-0.084,,0.085,-0.044,-0.04,,,,,,
,-0.085,,0.084,-0.039,-0.043,,,,,,
,-0.08,,0.079,-0.037,-0.041,,,,,,
,-0.079,,0.096,-0.072,-0.023,,,,,,
,-0.08,,0.097,-0.076,-0.021,,,,,,
,-0.077,,0.093,-0.072,-0.021,,,,,,
,-0.074,,0.088,-0.066,-0.021,,,,,,
,-0.075,,0.091,-0.068,-0.022,,,,,,
,-0.071,,0.084,-0.062,-0.021,,,,,,
,-0.069,,0.081,-0.06,-0.022,,,,,,
,-0.069,,0.08,-0.056,-0.023,,,,,,
,-0.064,,0.075,-0.052,-0.022,,,,,,
,-0.064,,0.074,-0.05,-0.022,,,,,,
,-0.065,,0.071,-0.047,-0.025,,,,,,
,-0.06,,0.066,-0.044,-0.022,,,,,,
,-0.06,,0.072,-0.055,-0.017,,,,,,
,-0.059,,0.082,-0.075,-0.007,,,,,,
,-0.056,,0.084,-0.085,0.0,,,,,,
,-0.054,,0.081,-0.081,0.0,,,,,,
,-0.05,,0.077,-0.08,0.001,,,,,,
,-0.05,,0.076,-0.079,0.001,,,,,,
,-0.048,,0.075,-0.079,0.003,,,,,,
,-0.044,,0.069,-0.072,0.003,,,,,,
,-0.045,,0.071,-0.072,0.001,,,,,,
,-0.039,,0.064,-0.069,0.004,,,,,,
,-0.04,,0.065,-0.07,0.005,,,,,,
,-0.034,,0.057,-0.064,0.006,,,,,,
,-0.035,,0.057,-0.062,0.004,,,,,,
,-0.031,,0.053,-0.06,0.006,,,,,,
,-0.03,,0.052,-0.061,0.007,,,,,,
,-0.029,,0.05,-0.057,0.006,,,,,,
,-0.025,,0.051,-0.066,0.013,,,,,,
,-0.024,,0.056,-0.075,0.018,,,,,,
,-0.025,,0.054,-0.07,0.016,,,,,,
,-0.02,,0.05,-0.071,0.02,,,,,,
,-0.02,,0.048,-0.066,0.017,,,,,,
,-0.019,,0.046,-0.065,0.017,,,,,,
,-0.019,,0.046,-0.064,0.016,,,,,,
,-0.014,,0.04,-0.061,0.02,,,,,,
,-0.016,,0.041,-0.058,0.016,,,,,,
,-0.013,,0.038,-0.056,0.018,,,,,,
,-0.011,,0.036,-0.055,0.019,,,,,,
,-0.007,,0.03,-0.05,0.018,,,,,,
,-0.013,,0.035,-0.051,0.015,,,,,,
,0.001,,0.02,-0.044,0.023,,,,,,
,0.024,,-0.002,-0.032,0.033,,,,,,
,0.011,,0.005,-0.028,0.022,,,,,,
,0.005,,0.005,-0.021,0.014,,,,,,
,-0.003,,0.009,-0.013,0.004,,,,,,
,-0.009,,0.01,-0.006,-0.003,,,,,,
,-0.013,,0.003,0.012,-0.015,,,,,,
,-0.017,,0.0,0.026,-0.025,,,,,,
,-0.02,,-0.007,0.047,-0.038,,,,,,
,-0.025,,-0.003,0.047,-0.042,,,,,,
,-0.028,,0.004,0.034,-0.038,,,,,,
,-0.026,,0.007,0.024,-0.031,,,,,,
,0.006,,-0.02,0.03,-0.01,,,,,,
,0.015,,-0.025,0.028,-0.003,,,,,,
,-0.008,,0.0,0.013,-0.013,,,,,,
,-0.024,,0.018,0.0,-0.018,,,,,,
,-0.045,,0.04,-0.012,-0.027,,,,,,
,-0.066,,0.069,-0.037,-0.03,,,,,,
,-0.07,,0.074,-0.042,-0.031,,,,,,
,-0.069,,0.07,-0.038,-0.032,,,,,,
,-0.07,,0.071,-0.036,-0.034,,,,,,
,-0.069,,0.069,-0.033,-0.035,,,,,,
,-0.07,,0.069,-0.03,-0.036,,,,,,
,-0.069,,0.066,-0.028,-0.037,,,,,,
,-0.07,,0.065,-0.025,-0.04,,,,,,
,-0.103,,0.098,-0.04,-0.057,,,,,,
,-0.092,,0.086,-0.031,-0.053,,,,,,
,-0.075,,0.067,-0.021,-0.045,,,,,,
,-0.06,,0.049,-0.009,-0.04,,,,,,
,-0.046,,0.038,-0.006,-0.031,,,,,,
,-0.043,,0.036,-0.007,-0.029,,,,,,
,-0.038,,0.031,-0.004,-0.026,,,,,,
,-0.036,,0.028,-0.002,-0.025,,,,,,
,-0.026,,0.019,0.002,-0.02,,,,,,
,-0.015,,0.008,0.007,-0.014,,,,,,
,-0.015,,0.008,0.007,-0.014,,,,,,
,-0.054,,0.046,-0.011,-0.034,,,,,,
,-0.055,,0.048,-0.012,-0.035,,,,,,
,-0.051,,0.044,-0.01,-0.032,,,,,,
,-0.046,,0.04,-0.008,-0.03,,,,,,
,-0.043,,0.036,-0.006,-0.029,,,,,,
,-0.038,,0.031,-0.004,-0.026,,,,,,
,-0.036,,0.029,-0.001,-0.025,,,,,,
,-0.029,,0.024,-0.004,-0.02,,,,,,
,-0.029,,0.024,-0.004,-0.019,,,,,,
,-0.016,,0.011,0.001,-0.012,,,,,,
,-0.004,,0.0,0.007,-0.007,,,,,,
,-0.018,,0.017,-0.004,-0.011,,,,,,
,-0.023,,0.021,-0.005,-0.014,,,,,,
,-0.033,,0.031,-0.011,-0.019,,,,,,
,-0.041,,0.039,-0.016,-0.022,,,,,,
,-0.039,,0.039,-0.02,-0.018,,,,,,
,-0.025,,0.025,-0.011,-0.013,,,,,,
,-0.021,,0.022,-0.011,-0.009,,,,,,
,-0.01,,0.008,-0.001,-0.006,,,,,,
,-0.014,,0.01,0.002,-0.011,,,,,,
